Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
Dijual,Di Jual Kavling Pantai Indah Kapuk Uk 12x30 Golf Island Nego,"Rp 8,1 Miliar Total","Rp 22,5 Juta /m²",360 m² (30x12m),Lainnya,30x12 m,Ada,Tanah,"Pantai Indah Kapuk, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk,"FASILITAS DI GOLF ISLAND LENGKAP DAN MEWAH :
-The Matic Garder
-Club House
-Reflexology Path
-Viewing Deck
-Gazebo
-Beach View
-Outdoor GYM
-Children Playground
-Swimming Pool
-Gold Course
-Lake View
-Garden

Tersedia Juga Ukuran: 6x12. 6x12,5. 6x15. 8x15. 8x20. 8x25. 10x15. 10x20.
10x25. 10x30. 10x35. 12x35 VIEW GOLF / SEA.

Tersedia Juga Ruko: 4.5x15 View LAUT 5Lantai, dan 4.5x15 Boulevard 4Lantai

Tersedia Juga Apartment Gold Coast Type Studio. 1BR. 2BR. 3BR. Terrace. View Sea. View City

Untuk Informasi Lebih Lanjut Bisa Menghubungi.
Fadli LOT Property
Jual, Beli, Sewa. Apartement, Rumah, Kavling. Bisa Menghubungi Nomor
https://api.whatsapp.com/send?phone=628211xxxxxxx
WA : 082110955xxx. / 0895332880xxx."
las3648372,Kavling Siap Bangun Di Permata Buana Jakarta Barat,"Rp 5,5 Miliar Total",Rp 22 Juta /m²,250 m² (25x10m),HGB,25x10 m,Tanah,Dijual,"Permata Buana, Jakarta Barat",Jakarta Barat,Permata Buana,"Kavling Siap Bangun di Permata Buana Jakarta Barat 

Ls 10 x 25 
Siap Bangun 
Utara 
Sertifikat ready
Jalan lebar 





Menerima titip jual properti wilayah Jakarta, Permata Buana, Puri Indah, Intercon, Green Garden, dan sekitarnya 

Untuk informasi hubungi : 

Egi 08129xxxx xxx 
HALO Real Estate Agent"
las3567932,"Best Deal, Kavling Komersial Pik 2 Luas 2400m2 Posisi Bagus","Rp 26,4 Miliar Total",Rp 22 Juta /m²,1200 m²,SHM,,Tanah,Dijual,"Pantai Indah Kapuk, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk,"HOT LISTING..!!!!

Kavling Komersil PIK 2
Wallstreet
Posisi Belakang Boulevard
TOTAL LUAS TANAH 2400m2
Bisa beli satuan 1200m2
uk 30x40

Harga turun dari 26jt/m2 >> Hanya 22/m2 

Cipto - Icon Property Pik
wa.me/628778xxxxxxx"
Dijual,"Jual Tanah/Kavling Komersial Cbd Pik 2, Bisa Bangun 25 Lantai.","Rp 59,6 Miliar Total",Rp 35 Juta /m²,1705 m² (56x30m),HGB,,56x30 m,Tanah,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"KAVLING ATAU TANAH KOMERSIAL CBD PANTAI INDAH KAPUK 2, SATU-SATUNYA KAVLING KOMERSIAL BISA BANGUN HINGGA 25 LANTAI!

Ukuran 30x56,1 = 1705m2
JL MH THAMRIN, POSISI BOULEVARD! 
SELANGKAH MENUJU MENARA SYARIAH DAN EXIT TOL GATE!

For More : 
Cipto - Icon Property
08778156xxxx"
las8970021,Kavling Komersil Thamrin Center Avenue PIK2 2194m Hadap Boulevard,"Rp 76,7 Miliar Total",Rp 35 Juta /m²,2194 m²,PPJB,,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"Kavling Komersil Thamrin Center Avenue PIK2 2194m Hadap Boulevard

Dijual kavling siap bangun di thamrin center pik 2
Lokasi jalan utama CBD PIK 2, Dekat Tol, Menghadap menara syariah
Luas Tanah : 2194m2 
Sertifikat : PPJB
Hadap : jalan raya 

Harga Jual : 35 juta/m2 diluar PPN (nego)

More info :
Ana
HP & WA : 08131699xxxx
Call Center : 08777788xxxx
RE/MAX Premier"
las8958305,DIJUAL RUMAH TUA HITUNG TANAH SAJA DI KEMANG JAKSEL,"Rp 31,6 Miliar Total","Rp 22,5 Juta /m²",1406 m²,SHM,,Tanah,Dijual,"Kemang, Jakarta Selatan",Jakarta Selatan,Kemang,"DIJUAL RUMAH TUA HITUNG TANAH SAJA DI KEMANG JAKSEL

LUAS - 1406m²
Bentuk - Kotak
Hadap - Timur
Surat - SHM
ZONA - PERUMAHAN

HARGA - Rp 22.5jt/m² Nego


Bu JJ - GP Kemang
wa.me/+628121xxxxxxx"
las8975810,Tanah Kavling Dijual Tomang Cocok Untuk Bangun Rumah Baru – LT 333m2,"Rp 6,66 Miliar Total",Rp 20 Juta /m²,333 m² (11x30m),HGB,11x30 m,Tanah,Dijual,"Tomang, Jakarta Barat",Jakarta Barat,Tomang,"Tanah Kavling dijual Luas Tanah 333m2 Dalam Komplek Exclusive di Tomang Cocok Untuk Bangun Rumah Baru

Luas Tanah 333m2 (lebar 11 m)
Hadap Selatan
Sertifikat HGB

Info lengkap dan survei hubungi:
Mega 081188xxxx

✅ Menerima titip jual rumah. Kami proses dengan profesional dan maksimal
✅ Konsultasi harga pasar bersama Tim ahli dari INTERPRO
✅ Bonus foto profesional untuk properti anda (gratis) dari tim INTERPRO
✅ Baca 5 star review ⭐⭐⭐⭐⭐ kami dari Google “Interpro Properti”

Update Properti dan Informasi cek:
Website: www.interpro.id
Instagram: @interpro.greenville / @interproid"
las3128205,"Tanah Hook Dalam Komplek Mpr, Cilandak Shm Luas 278 M2","Rp 5,8 Miliar Total",,278 m² (16x18m),SHM,16x18 m,Tanah,Dijual,"Cilandak, Jakarta Selatan",Jakarta Selatan,Cilandak,"Dijual tanah kosong dalam komplek di komplek MPR cipete Luas 278m2 dimensi 17x16m2 hoek hadap utara dan barat shm 
Harga 5.8M nego"
Dijual,Tanah Kosong Di Pinang Raya Cilandak Pondok Labu Siap Bangun Shm,"Rp 4,3 Miliar Total",,417 m² (31x13m),SHM,,31x13 m,Tanah,"Cilandak, Jakarta Selatan",Jakarta Selatan,Cilandak,Dijual bangunan hitung tanah di Pinang Raya Pondok Labu Jakarta Selatan. Area sangat dekat ke: 1.2 Km ke Onebell Park Mall 2.5 Km ke stasiun MRT Fatmawati 3 Km ke Citos/pintu Toll Jorr Spek sbb: Luas Tanah : 417m2 (LxP +/- 13 x 31m2) SHM Hadap Selatan Jual Cepat 4.3M Nego.
Dijual,Tanah Komersil Jalan Sunan Giri Rawamangun Jakarta Timur,"Rp 16,5 Miliar Total",,1152 m² (26x44m),HGB,,26x44 m,Tanah,"Rawamangun, Jakarta Timur",Jakarta Timur,Rawamangun,"Dijual Tanah Strategis Cocok Untuk Usaha:

Rawamangun Jl. Sunan Giri 
Jakarta Timur 
Sebelah Kantor Bpjs
Seberang Sekolahalazhar Rawamangun
50M Dari Jalan Pemuda

Sertifikat : Shgb (Thn 2029)
Lt : 1152M2 
Lebar 26 X 44
Bangunan Bisa U 4Lantai
Kdb 60%
Klb 2.4
Kdh 30
Ktb 4
Zona Perizinan K1 
(Perkantoran,Perdagangan,Jasa)
Nilai Pasar : Rp. 29.491.200.xxx,-
Njop 20201650xxxxxxx

Harga Jual : Rp 16.500.000.xxx

Hubungi:
Lilih Hartono
Era Star
Wa.Me/628111xxxxxxx"
las3899283,"Kavling Golf Island Pik (8x20, 8x25, 10x20, 10x25, 12x25)","Rp 4,2 Miliar Total",Rp 21 Juta /m²,200 m² (25x8m),HGB,25x8 m,Tanah,Dijual,"Golf Island, Jakarta Utara",Jakarta Utara,Golf Island,"Kavling Residence
Golf Island PIK
Sonata Lagoon / Serenade Lagoon 
Ukuran 160-1000m2 
(8x20, 8x25, 10x20, 10x25, 12x25)
Ready Gandeng & Posisi Hoek
Hadap Utara / Selatan
Hgb
Siap Bangun

Spesialis Pantai Indah Kapuk

More Info :
Richard Infinite
08129119xxxx"
las4107500,Termurah Kavling Pik2 View Danau 525m2 (15x35),"Rp 14,9 Miliar Total","Rp 28,5 Juta /m²",525 m² (15x35m),SHM,15x35 m,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"Kavling Residence
Pantai Indah Kapuk 2
Cluster Danau
Ukuran 525m2 (15x35)
View Danau
Hadap Utara
PPJB bisa SHM

Hot Promo : 
- Wajib Bangun 5 Tahun
- Free PPN UP TO 50%

More Info :
Richard Infinite
08129119xxxx"
las4150616,"Kepa Duri Tanah Luas Cocok Untuk Kantor, Gudang, Dll Di Jalan Utama","Rp 29,7 Miliar Total",Rp 11 Juta /m²,2701 m² (55x49m),SHM,55x49 m,Tanah,Dijual,"Duri Kepa, Jakarta Barat",Jakarta Barat,Duri Kepa,"Tanah di jalan utama
Ada kendaraan umum melintas
Bentuk tanah L
Hadap 2 sisi jalan

Hadap Tenggara dan Barat Daya

Survei dulu, hubungi 
Bilyana 0812998xxxx"
las8706750,Dibawah Njop ! Dijual Tanah Kebayoran Baru Raya Zona Komersial,Rp 238 Miliar Total,Rp 46 Juta /m²,5193 m²,HGB,,Tanah,Dijual,"Kebayoran Baru, Jakarta Selatan",Jakarta Selatan,Kebayoran Baru,"DIJUAL TANAH KEBAYORAN BARU RAYA ZONA KOMERSIAL

Lokasi strategis
Area komersial (K1/Ungu) 
(KDB 55, KDH 20, KLB 6,26) 

Luas tanah 5193 m² 
Luas tanah fisik 5431.7 m²
Sertifikat 3 SHGB
Hadap Utara
Bisa dibangun hingga 11 lantai
Harga di bawah NJOP
------------------------------------------------------------------------
HARGA RP 46 JUTA/m² (Nego tipis) 
------------------------------------------------------------------------
More info:
AXEL
08967863xxxx"
las8943246,Hitung Tanah Akses Jalan Utama Kebayoran,Rp 69 Miliar Total,,1770 m²,SHM,,Tanah,Dijual,"Gandaria, Jakarta Selatan",Jakarta Selatan,Gandaria,"Kebayoran baru Gandaria lokasi prime,
Hitung Tanag,Akses jalan Utama  Hj Nawi Raya ,  Area Perkantoran, kuliner, fatmawati untuk usaha kantor, hotel komersil area, di Hoeak harga mendekati NJOP."
las3411713,Termurah Kavling Pik2 Bukit Danau Indah Siap Bangun Dekat Danau,"Rp 7,2 Miliar Total",Rp 24 Juta /m²,300 m² (30x10m),Lainnya,30x10 m,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"Jual kavling Bukit Danau Indah PIK2 siap bangun dekat danau

Lt. 10x30m
Kotak
Badan
Dekat danau
Ppjb
Harga 24jt/m nego

Hub
Violine 08212209xxxx"
las8937956,Jual Kavling Di Lokasi Terbaik Di Djual Kavling Di Perumahan Elit Bukit Permai Danau Cibubur..jalan Lebar ..akses One Gate System ..aman ..nyalan Jual Kavling Di Komplek Perumahan Bukit Permai Cibubur ..depan Danau...keamanan 24jam..jalan Lebar..rindang T,Rp 11 Miliar Total,"Rp 6,5 Juta /m²",1700 m² (80x22m),SHM,80x22 m,Tanah,Dijual,"Cibubur, Jakarta Timur",Jakarta Timur,Cibubur,"Tanah di Cibubur.

Miliki tanah 1 lantai yang modern ini,  dijual menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian nyaman.

Spesifikasi Utama Properti:
  - Sertifikat: SHM - Sertifikat Hak Milik

Fitur unggulan:

  - Bebas Banjir.
  - Lingkungan Islami.
  - Dekat Pusat Perbelanjaan.
  - Dekat Sekolah Internasional.
  - Dekat Tempat Wisata.
  - Dekat Taman Kota.
  - Lokasi di Pusat Kota.
  - Adem & Sejuk.
  - Lingkungan Tenang dan Damai.
  - Cocok Untuk Investasi.
  - Akses Jalan Muat 2 Mobil.

Terletak di Cibubur, tanah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 7.000.000, anda bisa memiliki hunian terbaik yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Jangan lewatkan kesempatan untuk menikmati pengalaman tinggal di kawasan Cibubur yang nyaman ini!

Kontak segera untuk informasi lebih lanjut!"
las8807953,Jual Tanah Bentuk Kotak ..hadap Timur..letak Tanah Tinggi Di Pondok Indah,Rp 23 Miliar Total,,545 m² (36x15m),HGB,36x15 m,Tanah,Dijual,"Pondok Indah, Jakarta Selatan",Jakarta Selatan,Pondok Indah,Jual tanah kotak..sertifikat..lokasi lebih tinggi dari jalan ...hadap timur /matahari pagi...lokasi tenang jarang ada ..cocok untuk invest
las4269334,LANGKA. Tanah/Kavling Residence Palm Spring Uk 1000m2 Di Pik 2.,Rp 31 Miliar Total,,1000 m² (50x20m),SHM,50x20 m,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"Super Rare. Jual Tanah atau Kavling Residence Palm Spring Uk 1000m2 Di Pantai Indah Kapuk 2
Uk 20x50 
Wajib Bangun, Unit super langka!
Harga 31 jt/m2 Siap Nego sampai Jadi

For More :
Cipto Icon Property Pik
08778156xxxx"
las8983188,"Dijual Kavling Di Dalam Cluster. Lokasi Nyaman,bebas Banjir,harga Terjangkau Di Jakarta Timur, Buruan Di Booked, Siapa Cepat Dia Dapat, Investasi Menguntungkan",Rp 300 Juta Total,Rp 5 Juta /m²,60 m²,SHM,,Tanah,Dijual,"Cipayung, Jakarta Timur",Jakarta Timur,Cipayung,"Tanah di Cipayung.

Dapatkan tanah 1 lantai yang nyaman ini,  dijual menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.

Spesifikasi Utama Properti:
  - Sertifikat: SHM - Sertifikat Hak Milik

Fitur unggulan:

  - Bebas Banjir.
  - Cicilan Bertahap.
  - Dekat Sekolah Internasional.
  - Dekat Sekolah Negeri.
  - Dekat Fasilitas Kesehatan.
  - Dekat Tempat Ibadah.
  - Dekat Taman Kota.
  - Dekat Pusat Perbelanjaan.
  - Dekat Akses Bandara.
  - Dekat Akses LRT.
  - Dekat Akses MRT.
  - Dekat Akses Transjakarta.
  - Lokasi Pinggiran Kota.
  - Cocok Untuk Investasi.
  - Properti Bisa Nego.
  - Akses Jalan Muat 2 Mobil.
  - Lokasi Strategis.
  - Lokasi Bebas Banjir.
  - One Gate System.
  - Bisa KPR.
  - Hitungan Tanah Meter Persegi.

Terletak di Cipayung, tanah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 5.000.000, anda bisa memiliki hunian terbaik yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Segera ambil kesempatan untuk menikmati pengalaman tinggal di kawasan Cipayung yang nyaman ini!

Kontak segera untuk informasi lebih lanjut!"
las8989965,DIJUAL KAVLING KOMERSIAL | UK 1992M,"Rp 49,8 Miliar Total",Rp 25 Juta /m²,1992 m²,PPJB,,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"DIJUAL KAVLING KOMERSIAL
PANTAI INDAH KAPUK 2

UKURAN 1992 M
HADAP UTARA & TIMUR
ROW JALAN BESAR
POSISI HOEK
LOKASI STRATEGIS

SURVEI JANJIAN
HARGA = 25 JUTA /METER"
las8989906,DIJUAL KAVLING KOMERSIAL | UK 1080,"Rp 23,2 Miliar Total","Rp 21,5 Juta /m²",1080 m²,PPJB,,Tanah,Dijual,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"DIJUAL KAVLING KOMERSIAL 

UKURAN 1080M
PANTAI INDAH KAPUK PIK1

DEKET SHOWROOM MOBIL BMW
LOKASI STRATEGIS
SURVEI KAPAN AJA

HARGA = 21.5 MILYAR/METER"
Dijual,Kavling Hoek Di Cluster The Piano at Golf Island PIK,"Rp 9,37 Miliar Total",Rp 25 Juta /m²,375 m² (25x15m),Lainnya,,25x15 m,Tanah,"Pantai Indah Kapuk 2, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk 2,"Pantai Indah Kapuk PIK Golf Island
Cluster The Piano Hadap Danau

Spesifikasinya:
Luas tanah 375 m2 (15 x 25m)
Posisi kavling Hadap Utara
Type Hoek
Hadap Danau


Harga jual Rp 25.000.000,- / meter (nego)


Cluster The Piano berlokasi strategis di dalam kota mandiri Golf Island PIK, Kota Jakarta Utara. Memiliki kemudahan akses melalui exit Tol JORR yang hanya berjarak 8 menit saja.

Selain itu, dapat juga diakses dengan transportasi umum yaitu Transjakarta. Sehingga penghuni dapat lebih mudah untuk menuju pusat kota Jakarta.

Fasilitas

Fasilitas yang tersedia di dalam clutser The Piano sangat lengkap dan dapat menunjang aktivitas sehari-hari penghuni. Tersedia fasilitas playground anak, jogging track, area terbuka hijau yang luas lengkap dengan danau yang indah.

Untuk fasilitas keamanan, cluster ini memiliki satu akses pintu masuk dengan sistem keamanan 24 jam. Selain itu, berdekatan dengan pusat perbelanjaan, food hall, rumah sakit, serta instansi pendidikan."
las8706564,Kavling Hoek Di Cluster The Piano at Golf Island PIK,"Rp 9,37 Miliar Total",Rp 25 Juta /m²,375 m² (25x15m),Lainnya,25x15 m,Tanah,Dijual,"Pantai Indah Kapuk, Jakarta Utara",Jakarta Utara,Pantai Indah Kapuk,"Pantai Indah Kapuk PIK Golf Island
Cluster The Piano Hadap Danau

Spesifikasinya:
Luas tanah 375 m2 (15 x 25m)
Posisi kavling Hadap Utara
Type Hoek
Hadap Danau


Harga jual Rp 25.000.000,- / meter (nego)


Cluster The Piano berlokasi strategis di dalam kota mandiri Golf Island PIK, Kota Jakarta Utara. Memiliki kemudahan akses melalui exit Tol JORR yang hanya berjarak 8 menit saja.

Selain itu, dapat juga diakses dengan transportasi umum yaitu Transjakarta. Sehingga penghuni dapat lebih mudah untuk menuju pusat kota Jakarta.

Fasilitas

Fasilitas yang tersedia di dalam clutser The Piano sangat lengkap dan dapat menunjang aktivitas sehari-hari penghuni. Tersedia fasilitas playground anak, jogging track, area terbuka hijau yang luas lengkap dengan danau yang indah.

Untuk fasilitas keamanan, cluster ini memiliki satu akses pintu masuk dengan sistem keamanan 24 jam. Selain itu, berdekatan dengan pusat perbelanjaan, food hall, rumah sakit, serta instansi pendidikan."
